DateKey,Date,Day,Month,MonthShort,MonthNo,Quarter,Year
20180101,2018-01-01,Monday,January,Jan,1,1,2018
20180102,2018-01-02,Tuesday,January,Jan,1,1,2018
20180103,2018-01-03,Wednesday,January,Jan,1,1,2018
20180104,2018-01-04,Thursday,January,Jan,1,1,2018
20180105,2018-01-05,Friday,January,Jan,1,1,2018
20180106,2018-01-06,Saturday,January,Jan,1,1,2018
20180107,2018-01-07,Sunday,January,Jan,1,1,2018
20180108,2018-01-08,Monday,January,Jan,1,1,2018
20180109,2018-01-09,Tuesday,January,Jan,1,1,2018
20180110,2018-01-10,Wednesday,January,Jan,1,1,2018
20180111,2018-01-11,Thursday,January,Jan,1,1,2018
20180112,2018-01-12,Friday,January,Jan,1,1,2018
20180113,2018-01-13,Saturday,January,Jan,1,1,2018
20180114,2018-01-14,Sunday,January,Jan,1,1,2018
20180115,2018-01-15,Monday,January,Jan,1,1,2018
20180116,2018-01-16,Tuesday,January,Jan,1,1,2018
20180117,2018-01-17,Wednesday,January,Jan,1,1,2018
20180118,2018-01-18,Thursday,January,Jan,1,1,2018
20180119,2018-01-19,Friday,January,Jan,1,1,2018
20180120,2018-01-20,Saturday,January,Jan,1,1,2018
20180121,2018-01-21,Sunday,January,Jan,1,1,2018
20180122,2018-01-22,Monday,January,Jan,1,1,2018
20180123,2018-01-23,Tuesday,January,Jan,1,1,2018
20180124,2018-01-24,Wednesday,January,Jan,1,1,2018
20180125,2018-01-25,Thursday,January,Jan,1,1,2018
20180126,2018-01-26,Friday,January,Jan,1,1,2018
20180127,2018-01-27,Saturday,January,Jan,1,1,2018
20180128,2018-01-28,Sunday,January,Jan,1,1,2018
20180129,2018-01-29,Monday,January,Jan,1,1,2018
20180130,2018-01-30,Tuesday,January,Jan,1,1,2018
20180131,2018-01-31,Wednesday,January,Jan,1,1,2018
20180201,2018-02-01,Thursday,February,Feb,2,1,2018
20180202,2018-02-02,Friday,February,Feb,2,1,2018
20180203,2018-02-03,Saturday,February,Feb,2,1,2018
