ProductKey,ProductItemCode,Product Name,Sub Category,Product Category,Cost of Goods Sold,Product Color,Price Per Unit,Product Size,Product Line,Product Model Name,Product Description,Product Status
1,AR-5381,Adjustable Race,NULL,Bikes,NULL,NA,NULL,NULL,NULL,NULL,NULL,Current
1,AR-5381,Adjustable Race,NULL,Components,NULL,NA,NULL,NULL,NULL,NULL,NULL,Current
1,AR-5381,Adjustable Race,NULL,Clothing,NULL,NA,NULL,NULL,NULL,NULL,NULL,Current
1,AR-5381,Adjustable Race,NULL,Accessories,NULL,NA,NULL,NULL,NULL,NULL,NULL,Current
2,BA-8327,Bearing Ball,NULL,Bikes,NULL,NA,NULL,NULL,NULL,NULL,NULL,Current
2,BA-8327,Bearing Ball,NULL,Components,NULL,NA,NULL,NULL,NULL,NULL,NULL,Current
2,BA-8327,Bearing Ball,NULL,Clothing,NULL,NA,NULL,NULL,NULL,NULL,NULL,Current
2,BA-8327,Bearing Ball,NULL,Accessories,NULL,NA,NULL,NULL,NULL,NULL,NULL,Current
3,BE-2349,BB Ball Bearing,NULL,Bikes,NULL,NA,NULL,NULL,NULL,NULL,NULL,Current
3,BE-2349,BB Ball Bearing,NULL,Components,NULL,NA,NULL,NULL,NULL,NULL,NULL,Current
3,BE-2349,BB Ball Bearing,NULL,Clothing,NULL,NA,NULL,NULL,NULL,NULL,NULL,Current
3,BE-2349,BB Ball Bearing,NULL,Accessories,NULL,NA,NULL,NULL,NULL,NULL,NULL,Current
4,BE-2908,Headset Ball Bearings,NULL,Bikes,NULL,NA,NULL,NULL,NULL,NULL,NULL,Current
4,BE-2908,Headset Ball Bearings,NULL,Components,NULL,NA,NULL,NULL,NULL,NULL,NULL,Current
4,BE-2908,Headset Ball Bearings,NULL,Clothing,NULL,NA,NULL,NULL,NULL,NULL,NULL,Current
4,BE-2908,Headset Ball Bearings,NULL,Accessories,NULL,NA,NULL,NULL,NULL,NULL,NULL,Current
5,BL-2036,Blade,NULL,Bikes,NULL,NA,NULL,NULL,NULL,NULL,NULL,Current
5,BL-2036,Blade,NULL,Components,NULL,NA,NULL,NULL,NULL,NULL,NULL,Current
5,BL-2036,Blade,NULL,Clothing,NULL,NA,NULL,NULL,NULL,NULL,NULL,Current
5,BL-2036,Blade,NULL,Accessories,NULL,NA,NULL,NULL,NULL,NULL,NULL,Current
6,CA-5965,LL Crankarm,NULL,Bikes,NULL,Black,NULL,NULL,NULL,NULL,NULL,Current
6,CA-5965,LL Crankarm,NULL,Components,NULL,Black,NULL,NULL,NULL,NULL,NULL,Current
6,CA-5965,LL Crankarm,NULL,Clothing,NULL,Black,NULL,NULL,NULL,NULL,NULL,Current
6,CA-5965,LL Crankarm,NULL,Accessories,NULL,Black,NULL,NULL,NULL,NULL,NULL,Current
7,CA-6738,ML Crankarm,NULL,Bikes,NULL,Black,NULL,NULL,NULL,NULL,NULL,Current
7,CA-6738,ML Crankarm,NULL,Components,NULL,Black,NULL,NULL,NULL,NULL,NULL,Current
7,CA-6738,ML Crankarm,NULL,Clothing,NULL,Black,NULL,NULL,NULL,NULL,NULL,Current
7,CA-6738,ML Crankarm,NULL,Accessories,NULL,Black,NULL,NULL,NULL,NULL,NULL,Current
8,CA-7457,HL Crankarm,NULL,Bikes,NULL,Black,NULL,NULL,NULL,NULL,NULL,Current
8,CA-7457,HL Crankarm,NULL,Components,NULL,Black,NULL,NULL,NULL,NULL,NULL,Current
8,CA-7457,HL Crankarm,NULL,Clothing,NULL,Black,NULL,NULL,NULL,NULL,NULL,Current
8,CA-7457,HL Crankarm,NULL,Accessories,NULL,Black,NULL,NULL,NULL,NULL,NULL,Current
9,CB-2903,Chainring Bolts,NULL,Bikes,NULL,Silver,NULL,NULL,NULL,NULL,NULL,Current
9,CB-2903,Chainring Bolts,NULL,Components,NULL,Silver,NULL,NULL,NULL,NULL,NULL,Current
9,CB-2903,Chainring Bolts,NULL,Clothing,NULL,Silver,NULL,NULL,NULL,NULL,NULL,Current
9,CB-2903,Chainring Bolts,NULL,Accessories,NULL,Silver,NULL,NULL,NULL,NULL,NULL,Current
10,CN-6137,Chainring Nut,NULL,Bikes,NULL,Silver,NULL,NULL,NULL,NULL,NULL,Current
10,CN-6137,Chainring Nut,NULL,Components,NULL,Silver,NULL,NULL,NULL,NULL,NULL,Current
10,CN-6137,Chainring Nut,NULL,Clothing,NULL,Silver,NULL,NULL,NULL,NULL,NULL,Current
10,CN-6137,Chainring Nut,NULL,Accessories,NULL,Silver,NULL,NULL,NULL,NULL,NULL,Current
11,CR-7833,Chainring,NULL,Bikes,NULL,Black,NULL,NULL,NULL,NULL,NULL,Current
11,CR-7833,Chainring,NULL,Components,NULL,Black,NULL,NULL,NULL,NULL,NULL,Current
11,CR-7833,Chainring,NULL,Clothing,NULL,Black,NULL,NULL,NULL,NULL,NULL,Current
11,CR-7833,Chainring,NULL,Accessories,NULL,Black,NULL,NULL,NULL,NULL,NULL,Current
12,CR-9981,Crown Race,NULL,Bikes,NULL,NA,NULL,NULL,NULL,NULL,NULL,Current
12,CR-9981,Crown Race,NULL,Components,NULL,NA,NULL,NULL,NULL,NULL,NULL,Current
12,CR-9981,Crown Race,NULL,Clothing,NULL,NA,NULL,NULL,NULL,NULL,NULL,Current
12,CR-9981,Crown Race,NULL,Accessories,NULL,NA,NULL,NULL,NULL,NULL,NULL,Current
