ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,PromotionKey,SalesTerritoryKey,SalesOrderNumber,OrderQuantity,DiscountAmount,TotalProductCost,SalesAmount
314,20180101,20180113,20180108,27606,1,1,SO43711,1,0,2171.2942,3578.27
311,20180101,20180113,20180108,13513,1,8,SO43712,1,0,2171.2942,3578.27
310,20180102,20180114,20180109,27601,1,4,SO43713,1,0,2171.2942,3578.27
311,20180102,20180114,20180109,13591,1,10,SO43714,1,0,2171.2942,3578.27
314,20180102,20180114,20180109,16483,1,9,SO43715,1,0,2171.2942,3578.27
311,20180102,20180114,20180109,16529,1,9,SO43716,1,0,2171.2942,3578.27
336,20180102,20180114,20180109,25249,1,9,SO43717,1,0,413.1463,699.0982
311,20180103,20180115,20180110,27668,1,1,SO43718,1,0,2171.2942,3578.27
312,20180103,20180115,20180110,27612,1,4,SO43719,1,0,2171.2942,3578.27
311,20180103,20180115,20180110,13264,1,8,SO43720,1,0,2171.2942,3578.27
310,20180103,20180115,20180110,13590,1,10,SO43721,1,0,2171.2942,3578.27
312,20180104,20180116,20180111,13581,1,10,SO43722,1,0,2171.2942,3578.27
332,20180104,20180116,20180111,14520,1,1,SO43723,1,0,413.1463,699.0982
311,20180104,20180116,20180111,16520,1,9,SO43724,1,0,2171.2942,3578.27
311,20180105,20180117,20180112,13258,1,8,SO43725,1,0,2171.2942,3578.27
332,20180105,20180117,20180112,14560,1,4,SO43726,1,0,413.1463,699.0982
311,20180105,20180117,20180112,16607,1,9,SO43727,1,0,2171.2942,3578.27
313,20180106,20180118,20180113,27666,1,4,SO43728,1,0,2171.2942,3578.27
346,20180106,20180118,20180113,11238,1,10,SO43729,1,0,1912.1544,3399.99
346,20180106,20180118,20180113,25861,1,4,SO43730,1,0,1912.1544,3399.99
314,20180106,20180118,20180113,16629,1,9,SO43731,1,0,2171.2942,3578.27
350,20180106,20180118,20180113,11025,1,9,SO43732,1,0,1898.0944,3374.99
312,20180106,20180118,20180113,27577,1,1,SO43733,1,0,2171.2942,3578.27
312,20180107,20180119,20180114,27604,1,1,SO43734,1,0,2171.2942,3578.27
310,20180107,20180119,20180114,16522,1,9,SO43735,1,0,2171.2942,3578.27
346,20180107,20180119,20180114,11002,1,9,SO43736,1,0,1912.1544,3399.99
311,20180108,20180120,20180115,13261,1,8,SO43737,1,0,2171.2942,3578.27
312,20180108,20180120,20180115,11606,1,7,SO43738,1,0,2171.2942,3578.27
310,20180108,20180120,20180115,13563,1,10,SO43739,1,0,2171.2942,3578.27
312,20180108,20180120,20180115,16527,1,9,SO43740,1,0,2171.2942,3578.27
310,20180109,20180121,20180116,27671,1,1,SO43741,1,0,2171.2942,3578.27
314,20180109,20180121,20180116,13576,1,10,SO43742,1,0,2171.2942,3578.27
347,20180109,20180121,20180116,11007,1,9,SO43743,1,0,1912.1544,3399.99
313,20180109,20180121,20180116,16631,1,9,SO43744,1,0,2171.2942,3578.27
311,20180110,20180122,20180117,16514,1,9,SO43745,1,0,2171.2942,3578.27
312,20180110,20180122,20180117,16616,1,9,SO43746,1,0,2171.2942,3578.27
314,20180111,20180123,20180118,27623,1,4,SO43747,1,0,2171.2942,3578.27
313,20180111,20180123,20180118,27625,1,1,SO43748,1,0,2171.2942,3578.27
314,20180111,20180123,20180118,27636,1,1,SO43749,1,0,2171.2942,3578.27
311,20180111,20180123,20180118,11591,1,7,SO43750,1,0,2171.2942,3578.27
313,20180111,20180123,20180118,11592,1,7,SO43751,1,0,2171.2942,3578.27
311,20180111,20180123,20180118,13265,1,8,SO43752,1,0,2171.2942,3578.27
310,20180111,20180123,20180118,16482,1,9,SO43753,1,0,2171.2942,3578.27
312,20180112,20180124,20180119,27617,1,1,SO43754,1,0,2171.2942,3578.27
311,20180112,20180124,20180119,27670,1,4,SO43755,1,0,2171.2942,3578.27
332,20180112,20180124,20180119,19941,1,10,SO43756,1,0,413.1463,699.0982
350,20180112,20180124,20180119,11017,1,9,SO43757,1,0,1898.0944,3374.99
310,20180113,20180125,20180120,27646,1,4,SO43758,1,0,2171.2942,3578.27
310,20180113,20180125,20180120,13257,1,8,SO43759,1,0,2171.2942,3578.27
314,20180113,20180125,20180120,16352,1,9,SO43760,1,0,2171.2942,3578.27
310,20180113,20180125,20180120,16493,1,9,SO43761,1,0,2171.2942,3578.27
314,20180114,20180126,20180121,27578,1,4,SO43762,1,0,2171.2942,3578.27
313,20180114,20180126,20180121,16525,1,9,SO43763,1,0,2171.2942,3578.27
310,20180114,20180126,20180121,16612,1,9,SO43764,1,0,2171.2942,3578.27
346,20180114,20180126,20180121,11010,1,9,SO43765,1,0,1912.1544,3399.99
313,20180115,20180127,20180122,16518,1,9,SO43766,1,0,2171.2942,3578.27
350,20180115,20180127,20180122,11001,1,9,SO43767,1,0,1898.0944,3374.99
312,20180116,20180128,20180123,27649,1,1,SO43768,1,0,2171.2942,3578.27
312,20180116,20180128,20180123,21659,1,6,SO43769,1,0,2171.2942,3578.27
312,20180116,20180128,20180123,27614,1,1,SO43770,1,0,2171.2942,3578.27
330,20180116,20180128,20180123,14559,1,4,SO43771,1,0,413.1463,699.0982
312,20180116,20180128,20180123,16524,1,9,SO43772,1,0,2171.2942,3578.27
314,20180116,20180128,20180123,16526,1,9,SO43773,1,0,2171.2942,3578.27
